Analyte,Units,Conc,Area
Benzoic Acid,mg/100mL,0.060,30484
Benzoic Acid,mg/100mL,0.060,30666
Benzoic Acid,mg/100mL,0.060,30458
Benzoic Acid,mg/100mL,0.060,30863
Benzoic Acid,mg/100mL,0.060,30384
Benzoic Acid,mg/100mL,0.060,30735
Benzoic Acid,mg/100mL,0.060,30552
Benzoic Acid,mg/100mL,0.060,31046
Benzoic Acid,mg/100mL,0.060,30575
Benzoic Acid,mg/100mL,0.060,30238
Benzoic Acid,mg/100mL,0.300,149471
Benzoic Acid,mg/100mL,0.300,149732
Benzoic Acid,mg/100mL,0.600,299015
Benzoic Acid,mg/100mL,0.600,299806
Benzoic Acid,mg/100mL,0.900,451401
Benzoic Acid,mg/100mL,0.900,450458
Benzoic Acid,mg/100mL,1.500,763801
Benzoic Acid,mg/100mL,1.500,752588
Benzoic Acid,mg/100mL,3.000,1507690
Benzoic Acid,mg/100mL,3.000,1504787
Benzoic Acid,mg/100mL,6.000,2953718
Benzoic Acid,mg/100mL,6.000,2954909
Sorbic Acid,mg/100mL,0.063,37871
Sorbic Acid,mg/100mL,0.063,37919
Sorbic Acid,mg/100mL,0.063,38015
Sorbic Acid,mg/100mL,0.063,38149
Sorbic Acid,mg/100mL,0.063,37845
Sorbic Acid,mg/100mL,0.063,38149
Sorbic Acid,mg/100mL,0.063,37820
Sorbic Acid,mg/100mL,0.063,38314
Sorbic Acid,mg/100mL,0.063,38275
Sorbic Acid,mg/100mL,0.063,38124
Sorbic Acid,mg/100mL,0.317,189336
Sorbic Acid,mg/100mL,0.317,188667
Sorbic Acid,mg/100mL,0.635,382912
Sorbic Acid,mg/100mL,0.635,383821
Sorbic Acid,mg/100mL,0.952,575841
Sorbic Acid,mg/100mL,0.952,576790
Sorbic Acid,mg/100mL,1.587,963588
Sorbic Acid,mg/100mL,1.587,965766
Sorbic Acid,mg/100mL,3.174,1928922
Sorbic Acid,mg/100mL,3.174,1924351
Sorbic Acid,mg/100mL,6.348,3768183
Sorbic Acid,mg/100mL,6.348,3774488
